domain,label
ac24.cz,0
aeronet.cz,0
aeronet.news,0
bezpolitickekorektnosti.cz,0
ceskavec.com,0
ceskezpravy.eu,0
ceskoaktualne.cz,0
cz.sputniknews.com,0
cz24.news,0
dt24.cz,0
e-republika.cz,0
eurabia.cz,0
jihoceskenovinky.cz,0
jihomoravskenovinky.cz,0
karlovarskenovinky.cz,0
kralovehradeckenovinky.cz,0
moravskoslezskenovinky.cz,0
narodninoviny.cz,0
necenzurovanapravda.cz,0
necenzurujeme.cz,0
nejvic-info.cz,0
novarepublika.cz,0
novinkyvysocina.cz,0
nwoo.org,0
olomouckenovinky.cz,0
otevrisvoumysl.cz,0
outsidermedia.cz,0
pardubickenovinky.cz,0
parlamentnilisty.cz,0
plzenskenovinky.cz,0
pokec24.cz,0
pravdive.eu,0
pravyprostor.cz,0
pravyprostor.net,0
prazskenovinky.cz,0
protiproud.cz,0
protiproud.info,0
prvnizpravy.cz,0
raptor-tv.cz,0
regionalninovinky.cz,0
stredoceskenovinky.cz,0
svobodnenoviny.eu,0
tadesco.cz,0
tydenikobcanskepravo.cz,0
usteckenovinky.cz,0
veksvetla.cz,0
vipnoviny.cz,0
zlinskenovinky.cz,0
zpravy.dt24.cz,0
zvedavec.news,0
zvedavec.org,0
